name,manufacturer,type,fiber
100% Bran,Nabisco,Cold,10
100% Natural Bran,Quaker Oats,Cold,2
All-Bran,Kelloggs,Cold,9
All-Bran with Extra Fiber,Kelloggs,Cold,14
Almond Delight,Ralston Purina,Cold,1
Apple Cinnamon Cheerios,General Mills,Cold,1.5
Apple Jacks,Kelloggs,Cold,1
Basic 4,General Mills,Cold,2
Bran Chex,Ralston Purina,Cold,4
Bran Flakes,Post,Cold,5
Cap'n'Crunch,Quaker Oats,Cold,0
Cheerios,General Mills,Cold,2
Cinnamon Toast Crunch,General Mills,Cold,0
Clusters,General Mills,Cold,2
Cocoa Puffs,General Mills,Cold,0
Corn Chex,Ralston Purina,Cold,0
Corn Flakes,Kelloggs,Cold,1
Corn Pops,Kelloggs,Cold,1
Count Chocula,General Mills,Cold,0
Cracklin' Oat Bran,Kelloggs,Cold,4
Cream of Wheat (Quick),Nabisco,Hot,1
Crispix,Kelloggs,Cold,1
Crispy Wheat & Raisins,General Mills,Cold,2
Double Chex,Ralston Purina,Cold,1
Froot Loops,Kelloggs,Cold,1
Frosted Flakes,Kelloggs,Cold,1
Frosted Mini-Wheats,Kelloggs,Cold,3
Fruit & Fibre Dates; Walnuts; and Oats,Post,Cold,5
Fruitful Bran,Kelloggs,Cold,5
Fruity Pebbles,Post,Cold,0
Golden Crisp,Post,Cold,0
Golden Grahams,General Mills,Cold,0
Grape Nuts Flakes,Post,Cold,3
Grape-Nuts,Post,Cold,3
Great Grains Pecan,Post,Cold,3
Honey Graham Ohs,Quaker Oats,Cold,1
Honey Nut Cheerios,General Mills,Cold,1.5
Honey-comb,Post,Cold,0
Just Right Crunchy  Nuggets,Kelloggs,Cold,1
Just Right Fruit & Nut,Kelloggs,Cold,2
Kix,General Mills,Cold,0
Life,Quaker Oats,Cold,2
Lucky Charms,General Mills,Cold,0
Maypo,American Home Food Products,Hot,0
Muesli Raisins; Dates; & Almonds,Ralston Purina,Cold,3
Muesli Raisins; Peaches; & Pecans,Ralston Purina,Cold,3
Mueslix Crispy Blend,Kelloggs,Cold,3
Multi-Grain Cheerios,General Mills,Cold,2
Nut&Honey Crunch,Kelloggs,Cold,0
Nutri-Grain Almond-Raisin,Kelloggs,Cold,3
Nutri-grain Wheat,Kelloggs,Cold,3
Oatmeal Raisin Crisp,General Mills,Cold,1.5
Post Nat. Raisin Bran,Post,Cold,6
Product 19,Kelloggs,Cold,1
Puffed Rice,Quaker Oats,Cold,0
Puffed Wheat,Quaker Oats,Cold,1
Quaker Oat Squares,Quaker Oats,Cold,2
Quaker Oatmeal,Quaker Oats,Hot,2.7
Raisin Bran,Kelloggs,Cold,5
Raisin Nut Bran,General Mills,Cold,2.5
Raisin Squares,Kelloggs,Cold,2
Rice Chex,Ralston Purina,Cold,0
Rice Krispies,Kelloggs,Cold,0
Shredded Wheat,Nabisco,Cold,3
Shredded Wheat 'n'Bran,Nabisco,Cold,4
Shredded Wheat spoon size,Nabisco,Cold,3
Smacks,Kelloggs,Cold,1
Special K,Kelloggs,Cold,1
Strawberry Fruit Wheats,Nabisco,Cold,3
Total Corn Flakes,General Mills,Cold,0
Total Raisin Bran,General Mills,Cold,4
Total Whole Grain,General Mills,Cold,3
Triples,General Mills,Cold,0
Trix,General Mills,Cold,0
Wheat Chex,Ralston Purina,Cold,3
Wheaties,General Mills,Cold,3
Wheaties Honey Gold,General Mills,Cold,1
